AMBAinScope,ResourceType,FriendlyName
no,Microsoft.Network/virtualNetworks/listNetworkManagerEffectiveSecurityAdminRules,null
no,Microsoft.Network/networkGroupMemberships,null
no,Microsoft.Network/locations/commitInternalAzureNetworkManagerConfiguration,null
no,Microsoft.Network/locations/internalAzureVirtualNetworkManagerOperation,null
yes,Microsoft.Network/privateDnsZones,Private Dns Zones
no,Microsoft.Network/privateDnsZones/virtualNetworkLinks,null
no,Microsoft.Network/privateDnsOperationResults,null
no,Microsoft.Network/privateDnsOperationStatuses,null
no,Microsoft.Network/privateDnsZonesInternal,null
no,Microsoft.Network/privateDnsZones/A,null
no,Microsoft.Network/privateDnsZones/AAAA,null
no,Microsoft.Network/privateDnsZones/CNAME,null
no,Microsoft.Network/privateDnsZones/PTR,null
no,Microsoft.Network/privateDnsZones/MX,null
no,Microsoft.Network/privateDnsZones/TXT,null
no,Microsoft.Network/privateDnsZones/SRV,null
no,Microsoft.Network/privateDnsZones/SOA,null
no,Microsoft.Network/privateDnsZones/all,null
no,Microsoft.Network/virtualNetworks/privateDnsZoneLinks,null
yes,Microsoft.Network/dnszones,DNS Zones
no,Microsoft.Network/dnsOperationResults,null
no,Microsoft.Network/dnsOperationStatuses,null
no,Microsoft.Network/getDnsResourceReference,null
no,Microsoft.Network/internalNotify,null
no,Microsoft.Network/dnszones/A,null
no,Microsoft.Network/dnszones/AAAA,null
no,Microsoft.Network/dnszones/CNAME,null
no,Microsoft.Network/dnszones/PTR,null
no,Microsoft.Network/dnszones/MX,null
no,Microsoft.Network/dnszones/TXT,null
no,Microsoft.Network/dnszones/SRV,null
no,Microsoft.Network/dnszones/SOA,null
no,Microsoft.Network/dnszones/NS,null
no,Microsoft.Network/dnszones/CAA,null
no,Microsoft.Network/dnszones/DS,null
no,Microsoft.Network/dnszones/TLSA,null
no,Microsoft.Network/dnszones/NAPTR,null
no,Microsoft.Network/dnszones/recordsets,null
no,Microsoft.Network/dnszones/all,null
no,Microsoft.Network/dnszones/dnssecConfigs,null
yes,Microsoft.Network/virtualNetworks,Virtual Networks
no,Microsoft.Network/virtualNetworks/taggedTrafficConsumers,null
yes,Microsoft.Network/natGateways,NAT Gateways
yes,Microsoft.Network/publicIPAddresses,Public Ip
no,Microsoft.Network/internalPublicIpAddresses,null
no,Microsoft.Network/customIpPrefixes,null
no,Microsoft.Network/networkInterfaces,null
no,Microsoft.Network/dscpConfigurations,null
yes,Microsoft.Network/privateEndpoints,Private Endpoints
no,Microsoft.Network/privateEndpoints/privateLinkServiceProxies,null
no,Microsoft.Network/privateEndpointRedirectMaps,null
yes,Microsoft.Network/loadBalancers,Load Balancer
yes,Microsoft.Network/networkSecurityGroups,Network Security Group
yes,Microsoft.Network/applicationSecurityGroups,Application Security Group
no,Microsoft.Network/serviceEndpointPolicies,null
no,Microsoft.Network/networkIntentPolicies,null
yes,Microsoft.Network/routeTables,Route Table
yes,Microsoft.Network/publicIPPrefixes,Public IP Prefixes
yes,Microsoft.Network/networkWatchers,Network Watcher
no,Microsoft.Network/networkWatchers/connectionMonitors,null
yes,Microsoft.Network/networkWatchers/flowLogs,Flow Log
no,Microsoft.Network/networkWatchers/pingMeshes,null
no,Microsoft.Network/locations,null
no,Microsoft.Network/locations/operations,null
no,Microsoft.Network/locations/operationResults,null
no,Microsoft.Network/locations/CheckDnsNameAvailability,null
no,Microsoft.Network/locations/setLoadBalancerFrontendPublicIpAddresses,null
no,Microsoft.Network/cloudServiceSlots,null
no,Microsoft.Network/locations/usages,null
no,Microsoft.Network/locations/virtualNetworkAvailableEndpointServices,null
no,Microsoft.Network/locations/availableDelegations,null
no,Microsoft.Network/locations/serviceTags,null
no,Microsoft.Network/locations/availablePrivateEndpointTypes,null
no,Microsoft.Network/locations/availableServiceAliases,null
no,Microsoft.Network/locations/checkPrivateLinkServiceVisibility,null
no,Microsoft.Network/locations/autoApprovedPrivateLinkServices,null
no,Microsoft.Network/locations/batchValidatePrivateEndpointsForResourceMove,null
no,Microsoft.Network/locations/batchNotifyPrivateEndpointsForResourceMove,null
no,Microsoft.Network/locations/supportedVirtualMachineSizes,null
no,Microsoft.Network/locations/setAzureNetworkManagerConfiguration,null
no,Microsoft.Network/locations/publishResources,null
no,Microsoft.Network/locations/getAzureNetworkManagerConfiguration,null
no,Microsoft.Network/locations/checkAcceleratedNetworkingSupport,null
no,Microsoft.Network/locations/validateResourceOwnership,null
no,Microsoft.Network/locations/setResourceOwnership,null
no,Microsoft.Network/locations/effectiveResourceOwnership,null
no,Microsoft.Network/operations,null
No,Microsoft.Network/virtualNetworkTaps,null
yes,Microsoft.Network/privateLinkServices,Private Link Services
no,Microsoft.Network/locations/privateLinkServices,null
yes,Microsoft.Network/ddosProtectionPlans,Ddos Protection Plans
no,Microsoft.Network/networkProfiles,null
no,Microsoft.Network/locations/bareMetalTenants,null
no,Microsoft.Network/ipAllocations,null
no,Microsoft.Network/locations/serviceTagDetails,null
no,Microsoft.Network/locations/dataTasks,null
no,Microsoft.Network/locations/startPacketTagging,null
no,Microsoft.Network/locations/deletePacketTagging,null
no,Microsoft.Network/locations/getPacketTagging,null
no,Microsoft.Network/locations/rnmEffectiveRouteTable,null
no,Microsoft.Network/locations/rnmEffectiveNetworkSecurityGroups,null
no,Microsoft.PolicyInsights/policyEvents,null
no,Microsoft.PolicyInsights/policyStates,null
no,Microsoft.PolicyInsights/componentPolicyStates,null
no,Microsoft.PolicyInsights/operations,null
no,Microsoft.PolicyInsights/asyncOperationResults,null
no,Microsoft.PolicyInsights/remediations,null
no,Microsoft.PolicyInsights/attestations,null
no,Microsoft.PolicyInsights/eventGridFilters,null
no,Microsoft.PolicyInsights/checkPolicyRestrictions,null
no,Microsoft.PolicyInsights/policyTrackedResources,null
no,Microsoft.PolicyInsights/policyMetadata,null
no,Microsoft.Storage/storageAccounts/storageTaskAssignments,null
no,Microsoft.Storage/storageAccounts/encryptionScopes,null
no,Microsoft.Storage/deletedAccounts,null
no,Microsoft.Storage/locations/deletedAccounts,null
yes,Microsoft.Storage/storageAccounts,Storage Account
no,Microsoft.Storage/storageTasks,null
no,Microsoft.Storage/operations,null
no,Microsoft.Storage/locations/asyncoperations,null
no,Microsoft.Storage/storageAccounts/listAccountSas,null
no,Microsoft.Storage/storageAccounts/listServiceSas,null
yes,Microsoft.Storage/storageAccounts/blobServices,blobServices
yes,Microsoft.Storage/storageAccounts/tableSrevices,tableSrevices
yes,Microsoft.Storage/storageAccounts/queueServices,queueServices
yes,Microsoft.Storage/storageAccounts/fileServices,fileServices
no,Microsoft.Storage/locations,null
no,Microsoft.Storage/locations/usages,null
no,Microsoft.Storage/locations/deleteVirtualNetworkOrSubnets,null
no,Microsoft.Storage/usages,null
no,Microsoft.Storage/checkNameAvailability,null
no,Microsoft.Storage/locations/checkNameAvailability,null
no,Microsoft.Storage/storageAccounts/services,null
no,Microsoft.Storage/storageAccounts/services/metricDefinitions,null
no,Microsoft.Storage/locations/notifyNetworkSecurityPerimeterUpdatesAvailable,null
yes,Microsoft.KeyVault/vaults,Key Vault
no,Microsoft.KeyVault/vaults/secrets,null
no,Microsoft.KeyVault/vaults/accessPolicies,null
no,Microsoft.KeyVault/operations,null
no,Microsoft.KeyVault/checkNameAvailability,null
no,Microsoft.KeyVault/deletedVaults,null
no,Microsoft.KeyVault/locations,null
no,Microsoft.KeyVault/locations/notifyNetworkSecurityPerimeterUpdatesAvailable,null
no,Microsoft.KeyVault/locations/deletedVaults,null
no,Microsoft.KeyVault/locations/deleteVirtualNetworkOrSubnets,null
no,Microsoft.KeyVault/locations/operationResults,null
no,Microsoft.KeyVault/vaults/eventGridFilters,null
yes,Microsoft.KeyVault/managedHSMs,Managed HSM Service
no,Microsoft.KeyVault/deletedManagedHSMs,null
no,Microsoft.KeyVault/locations/deletedManagedHSMs,null
no,Microsoft.KeyVault/locations/managedHsmOperationResults,null
no,Microsoft.KeyVault/managedHSMs/keys,null
no,Microsoft.KeyVault/managedHSMs/keys/versions,null
no,Microsoft.KeyVault/checkMhsmNameAvailability,null
no,Microsoft.KeyVault/vaults/keys,null
no,Microsoft.KeyVault/vaults/keys/versions,null
no,Microsoft.Sql/operations,null
no,Microsoft.Sql/locations,null
no,Microsoft.Sql/locations/capabilities,null
no,Microsoft.Sql/locations/databaseAzureAsyncOperation,null
